"chr","pos","Name","regression_coef"
"chr7",95025836,"cg08828819",1.11358
"chr19",15342982,"cg14556683",1.07458
"chrX",151810171,"cg14698870",1.03297
"chr19",13210356,"cg04499029",0.95999
"chr4",155662795,"cg26461267",0.90279
"chr16",74497945,"cg24322380",0.87819
"chr12",64215611,"cg27454064",0.87606
"chr5",132150128,"cg02699218",0.87087
"chr7",129648602,"cg01535674",-0.86625
"chr7",81921689,"cg21251220",-0.85785
"chr1",20926720,"cg14217107",0.85576
"chr5",140562236,"cg26389950",0.78465
"chr13",100269826,"cg11277947",0.7758
"chr13",26043472,"cg12111714",-0.77138
"chr21",38378433,"cg09849302",0.76446
"chr2",186603311,"cg25343589",0.75844
"chr16",73240390,"cg06297488",0.74197
"chr15",89922328,"cg09969277",0.74118
"chr1",10698313,"cg20704560",-0.70987
"chr11",2890710,"cg02646491",0.70788
"chr3",107704588,"cg06660497",0.70184
"chr5",140552347,"cg22190023",0.68543
"chr12",76431648,"cg10068243",-0.68471
"chr15",56286911,"cg22680708",-0.68402
"chr12",121268034,"cg07871717",0.67336
"chr10",121484355,"cg05273913",-0.67212
"chr17",1962132,"cg00911794",0.66314
"chr10",119494671,"cg19912142",-0.66142
"chr4",995931,"cg01962146",0.66036
"chr2",179269232,"cg20587874",-0.65917
"chr1",63790044,"cg18279094",-0.64945
"chr1",91185233,"cg22507154",-0.64766
"chr10",93861385,"cg06036471",0.64617
"chr1",247511469,"cg26276327",0.63244
"chr6",143195947,"cg21597425",0.63003
"chr1",221050491,"cg10386298",-0.62856
"chr3",153840347,"cg27020216",0.62619
"chr12",54413000,"cg19164987",0.62603
"chr1",149145020,"cg19635571",0.61734
"chr1",151840530,"cg06128809",-0.61715
"chr5",140536238,"cg21777188",0.61582
"chr11",82443614,"cg02973171",0.61499
"chr18",46551791,"cg00563701",0.61464
"chr5",79542470,"cg01267797",0.61439
"chr5",110252994,"cg03819227",-0.61281
"chr2",238462793,"cg21750428",0.61238
"chr4",38990279,"cg13136648",-0.60732
"chr4",6247640,"cg06424065",-0.60145
"chr12",8146074,"cg00376992",0.60015
"chr20",55862697,"cg16661792",-0.59847
"chr3",160168238,"cg07572451",0.5983
"chr8",59815381,"cg26314172",0.59759
"chr7",2980791,"cg11745094",-0.59604
"chr5",140254845,"cg09852127",0.59282
"chr12",48172090,"cg11623046",0.59057
"chr1",1564422,"cg00078456",0.58952
"chr10",1314211,"cg02305391",0.58018
"chr17",17721645,"cg17029706",0.57892
"chrX",30883274,"cg12886779",-0.5778
"chr11",61544906,"cg27438304",0.57756
"chr6",32847830,"cg01607625",-0.56965
"chr20",61049813,"cg05357152",-0.56939
"chr12",64801624,"cg14514120",0.56892
"chrX",152059152,"cg09364387",0.56797
"chr9",111548749,"cg13837146",-0.56796
"chr3",100617729,"cg06607226",0.56761
"chr10",14592515,"cg18124377",0.56156
"chr1",4697919,"cg16512885",-0.55768
"chr14",102687712,"cg06549384",-0.55698
"chr2",227001602,"cg04167096",0.55592
"chr22",49798750,"cg06351537",-0.55558
"chr10",99734805,"cg06324373",0.55256
"chr20",60510235,"cg11853697",0.55255
"chr8",144824651,"cg12000297",0.55153
"chr3",77524776,"cg08470863",-0.54636
"chr17",32488847,"cg08601520",0.54581
"chr15",67111650,"cg24401660",0.54321
"chr2",85971548,"cg21512179",-0.54253
"chr19",15344265,"cg24520342",0.54104
"chr9",102591302,"cg08042258",-0.53898
"chr2",219667302,"cg15713912",-0.53862
"chr11",65409760,"cg24147428",-0.53708
"chr19",40904851,"cg00478479",-0.53575
"chr1",4802225,"cg18957455",0.53563
"chr5",73623208,"cg17680767",-0.53367
"chr7",524149,"cg20177507",-0.52811
"chr14",94849780,"cg14567595",0.5232
"chr11",68273261,"cg07182343",0.52242
"chr6",2857924,"cg10943263",0.51389
"chr17",59226714,"cg15285436",-0.51381
"chr19",47134906,"cg18467978",-0.51326
"chr6",119823058,"cg13296394",0.51295
"chr4",70616571,"cg22247531",0.50999
"chr16",31339165,"cg04790252",0.50932
"chr5",66558267,"cg14591531",-0.50911
"chr15",31775895,"cg04875128",0.50801
"chr1",168522375,"cg15733054",0.50588
"chr1",165831369,"cg07607032",-0.50394
"chr10",135076574,"cg05370838",0.50036
"chr4",173935615,"cg09232805",-0.49945
"chr20",61559756,"cg01329151",0.49405
"chr6",117802725,"cg11412288",0.49372
"chr6",3414775,"cg10489702",0.49289
"chr5",114913244,"cg16172020",-0.49271
"chr16",89414269,"cg14981961",0.49091
"chr1",168050936,"cg03197611",0.48662
"chr14",23030012,"cg20553985",0.48628
"chr4",122746245,"cg23574427",0.48564
"chr6",16904044,"cg21617684",0.48377
"chr9",2662611,"cg23945200",0.48332
"chr9",111175675,"cg09715000",-0.48219
"chr1",149148312,"cg27587661",0.48163
"chr17",13834464,"cg13574411",0.48016
"chr3",139259742,"cg06726820",0.47989
"chr15",85360664,"cg20318166",0.47846
"chr10",61647141,"cg04736673",0.47758
"chr2",208989248,"cg22399133",-0.47611
"chr12",121089685,"cg15397176",0.47577
"chr1",111743202,"cg20317872",-0.47535
"chr5",140753536,"cg07717903",-0.47507
"chr1",79472361,"cg04360793",-0.47477
"chr6",105388694,"cg03738025",0.47376
"chr18",5421105,"cg03552035",-0.4734
"chr11",66515246,"cg26276367",0.47327
"chr17",19976149,"cg01289959",0.4727
"chr16",8956240,"cg06202930",0.4714
"chr4",56795496,"cg13262638",0.47093
"chr5",140810404,"cg02267483",-0.47032
"chr12",95840443,"cg06159896",0.46987
"chr3",45026101,"cg04648490",0.46983
"chr15",101861037,"cg07324702",-0.46731
"chr5",140552971,"cg23265105",0.46587
"chr5",96299144,"cg21099238",0.46452
"chr6",4610744,"cg00175395",0.46432
"chr1",178113665,"cg03106053",0.46402
"chr8",37650963,"cg12244594",-0.46314
"chr18",9851623,"cg16133636",-0.4628
"chr18",47641824,"cg11120805",0.46266
"chr5",176797920,"cg06060754",-0.46021
"chr10",99734662,"cg03379552",0.45991
"chr11",27426234,"cg06334921",0.45917
"chr12",16135308,"cg14754427",-0.45776
"chr3",194839222,"cg07103270",0.45706
"chr5",180486787,"cg26479630",0.45649
"chr12",107896921,"cg04873208",0.45412
"chr6",10505943,"cg26446161",-0.45278
"chr14",46337546,"cg17236027",0.44972
"chr11",61544986,"cg09226904",0.44839
"chr10",8097689,"cg15267232",0.44418
"chr17",47548821,"cg10163794",-0.44209
"chr5",32028055,"cg13110775",0.4339
"chr20",43726765,"cg07160746",0.43259
"chr8",133699791,"cg04445427",0.43211
"chr8",48675911,"cg09100271",-0.43148
"chr14",74296957,"cg00508023",-0.42815
"chr3",152049980,"cg00085438",0.42351
"chr1",46940325,"cg21692450",-0.42143
"chr17",17295349,"cg09607043",0.42068
"chr1",95068029,"cg00778190",-0.42007
"chr22",46810112,"cg04487945",0.41858
"chr1",224753005,"cg21246584",0.41746
"chr8",101317689,"cg19981884",0.41718
"chr10",102998738,"cg19229182",0.41638
"chr7",24917750,"cg14762436",0.41418
"chr11",75282988,"cg01100061",-0.41389
"chr11",8775859,"cg18100209",0.41223
"chr14",103740085,"cg17275781",-0.41083
"chr22",39662795,"cg08515380",-0.40834
"chr8",143858548,"cg03405983",0.40796
"chr9",80070413,"cg24557546",0.40742
"chr6",42136421,"cg00738571",-0.40706
"chr6",110299485,"cg11372636",-0.40535
"chr11",16632509,"cg20216139",0.40509
"chr4",101930486,"cg17742165",-0.40465
"chr1",233765350,"cg02581587",0.40428
"chr8",127832164,"cg03626256",-0.40269
"chr5",180301107,"cg15948428",-0.40201
"chr2",68591445,"cg23500850",0.40137
"chr4",72134060,"cg06121226",-0.4007
"chr12",109118030,"cg13164535",0.40002
"chr6",101448366,"cg01006277",0.39975
"chr6",150023180,"cg14362107",0.39971
"chr14",100914106,"cg13422003",0.39951
"chr3",72149324,"cg03652525",0.39941
"chr20",23082470,"cg08203243",-0.39938
"chr10",48378859,"cg08023545",0.39703
"chr12",6184410,"cg05553253",0.39667
"chr17",57642752,"cg16969368",0.39592
"chr15",59588367,"cg10156382",0.39529
"chr2",219152586,"cg14295935",-0.39519
"chr3",53136880,"cg16897937",0.3948
"chr13",31667191,"cg24989176",0.39226
"chr20",4070556,"cg00037671",-0.39102
"chr1",110476668,"cg19627034",-0.39085
"chr5",65980688,"cg07956968",-0.3904
"chr1",88338001,"cg07568588",0.38989
"chr4",25022049,"cg22178121",0.38964
"chr1",145683323,"cg01715025",0.38842
"chr2",203036235,"cg10089801",0.38829
"chr11",70508410,"cg17627654",0.38829
"chr1",207096833,"cg22945467",0.38797
"chr14",24456378,"cg21480069",0.38767
"chr12",50932172,"cg04531030",0.38686
"chr19",47292253,"cg08533710",0.3866
"chr3",179478951,"cg16405587",-0.38633
"chr2",232548325,"cg10211049",0.38624
"chr5",177150207,"cg04936951",-0.3861
"chr1",14862767,"cg06151579",-0.38442
"chr2",70842561,"cg19184047",-0.38436
"chr1",151811364,"cg12749132",0.38326
"chr2",40698641,"cg07586792",-0.3831
"chr12",754928,"cg07964115",-0.38285
"chr20",23129142,"cg19515857",-0.3823
"chr10",3584776,"cg00272343",-0.38147
"chr15",31773057,"cg18401111",-0.38112
"chr1",65635785,"cg14155265",0.37996
"chr8",54826136,"cg11409019",0.3789
"chr16",10912545,"cg26952618",-0.3788
"chr7",77033401,"cg16849075",0.37855
"chr19",1601665,"cg01012808",0.37784
"chr12",117354631,"cg17143945",0.37618
"chr15",85360319,"cg06532379",0.37494
"chr5",54917216,"cg12331776",0.3744
"chr15",38378237,"cg03906681",0.37374
"chr15",31378513,"cg19395578",0.37278
"chr11",46302563,"cg27196715",-0.37235
"chr4",8029940,"cg25402056",0.37233
"chr3",126654442,"cg11067956",0.37177
"chr3",127677452,"cg12678021",0.37164
"chr6",13927648,"cg01861613",0.36982
"chr2",56067277,"cg24166814",-0.36967
"chr6",130841644,"cg22975024",-0.36964
"chr2",239343799,"cg10907896",-0.36893
"chr11",10476494,"cg07268332",0.36887
"chr3",159755869,"cg12197470",0.36731
"chr12",115354458,"cg08971484",0.3673
"chr16",81720218,"cg12361705",0.36639
"chr6",6894163,"cg02096172",0.36617
"chr12",50990377,"cg08183077",0.3659
"chr7",11490200,"cg06071286",-0.36529
"chr22",29204668,"cg06605647",0.36406
"chr22",24463828,"cg13120357",-0.36398
"chr20",10891271,"cg09109562",-0.36374
"chr8",117565950,"cg18695248",-0.3637
"chr11",77860880,"cg06714440",-0.36363
"chr6",901081,"cg21127580",-0.36337
"chr7",108108892,"cg19486437",-0.36287
"chr1",43854136,"cg10500219",0.36167
"chr2",85284766,"cg12786065",-0.36068
"chr7",95026106,"cg04080282",-0.35993
"chr9",124084497,"cg16639568",0.35848
"chr2",99439848,"cg20666917",0.35843
"chr2",33359289,"cg18850418",0.35837
"chrX",40173451,"cg06106992",0.3579
"chr12",53209809,"cg14340960",0.35782
"chr5",78407678,"cg02286091",0.35753
"chr2",47095552,"cg25370362",-0.35719
"chr5",140810123,"cg12304520",-0.35446
"chr2",24331829,"cg10198174",0.35365
"chr2",45028802,"cg00028211",0.35349
"chr5",134363823,"cg22827250",0.35326
"chr2",9603687,"cg12057242",0.35251
"chr10",30780298,"cg06664104",-0.35222
"chr8",23376450,"cg12874661",0.35195
"chr8",124057593,"cg25067419",-0.35146
"chr15",100514479,"cg09939229",0.35075
"chr2",238777587,"cg04011338",0.35058
"chr1",17323252,"cg25396173",-0.35029
"chr3",143247978,"cg17079405",0.34991
